Protein_ID,Gene,S1,S2,S3,R1,R2,R3
Q9UMY1,NOL7,-1.23287,-1.61633,-1.38723,-1.24403,-1.10214,-1.32521
Q5SY16,NOL9,-0.480167,-1.17954,-0.97624,-1.22854,-0.748835,-1.02732
Q14978,NOLC1,0.591534,0.901821,1.05733,1.11056,1.41143,1.08176
Q5C9Z4,NOM1,-3.96121,-4.04682,-4.29311,-4.58845,-3.21665,-3.66273
P69849;Q15155;Q5JPE7,NOMO1,1.47314,0.961527,1.02576,1.03157,1.02148,1.00647
Q15233,NONO,2.05652,2.79282,2.85843,2.69355,2.40054,2.72659
Q9NPE3,NOP10,0.0196285,-0.904877,-0.824221,-0.76931,-0.656597,-0.743361
P78316,NOP14,-0.832273,-1.23822,-1.25492,-1.18785,-0.780512,-1.12809
Q9Y3C1,NOP16,0.591534,-0.509727,-0.251232,-0.147753,-0.898884,-0.270931
P46087,NOP2,-1.21381,-0.901016,-0.86594,-0.0787125,0.176323,-0.0866394
O00567,NOP56,1.23364,1.11548,1.26628,1.24591,1.29278,1.24351
Q9Y2X3,NOP58,2.02125,1.83245,1.90255,2.02531,2.32769,2.02566
Q86U38,NOP9,0.0955772,-0.0515289,0.112474,0.339693,0.214125,0.199114
Q9Y314,NOSIP,2.54714,2.21968,2.24998,2.24052,2.31904,2.19064
not found,NOTCH2,-2.72362,-3.8174,-3.56711,-4.03193,-3.29984,-3.46369
O15118,NPC1,0.344154,-0.146389,-0.228151,-0.316338,0.0285702,-0.165379
P61916,NPC2,3.16185,2.1008,2.10645,2.65353,2.82985,2.64826
Q8NDH3,NPEPL1,-1.0199,-0.573608,-0.53866,-0.950092,-0.55621,-0.758587
P55786;A6NEC2,NPEPPS,2.10938,2.62038,2.59145,2.59345,2.65993,2.62957
Q8TAT6,NPLOC4,0.963305,0.405516,0.424753,0.631033,0.659925,0.642057
P06748,NPM1,5.00657,4.46058,4.62027,4.4961,3.71149,4.45178
O75607,NPM3,0.291302,0.109625,0.293047,0.256638,0.83996,0.221481
Q9Y639,NPTN,2.23364,2.65495,2.10645,2.07161,2.16027,1.92021
P15559,NQO1,3.10173,6.3361,6.38082,6.01548,5.45286,5.96399
Q86WQ0,NR2C2AP,0.0581017,-0.078001,-0.232079,-0.0388184,0,0.243507
